2014-05-14,81.0
2014-05-15,62.1
2014-05-16,57.9
2014-05-17,52.0
2014-05-18,55.9
2014-05-19,66.9
2014-05-20,70.0
2014-05-21,80.1
2014-05-22,82.0
2014-05-23,82.0
2014-05-24,71.1
2014-05-25,77.0
2014-05-26,81.0
2014-05-27,84.9
2014-05-28,84.9
2014-05-29,81.0
2014-05-30,75.0
2014-05-31,82.9
2014-06-01,84.9
2014-06-02,86.0
2014-06-03,86.0
2014-06-04,82.0
2014-06-05,73.0
2014-06-06,75.9
2014-06-07,79.0
2014-06-08,82.0
2014-06-09,82.0
2014-06-10,81.0
2014-06-11,81.0
2014-06-12,79.0
2014-06-13,79.0
2014-06-14,75.9
2014-06-15,75.0
2014-06-16,82.0
2014-06-17,86.0
2014-06-18,87.1
2014-06-19,87.1
2014-06-20,78.1
2014-06-21,78.1
2014-06-22,80.1
2014-06-23,82.0
2014-06-24,82.0
2014-06-25,78.1
2014-06-26,78.1
2014-06-27,81.0
2014-06-28,82.9
2014-06-29,84.0
2014-06-30,84.9
2014-07-01,84.9
