Population,FlwrT,1stFlwrHt_mm,Planted,Pot,Germ,crownTop,crownSide,flwrTime,NumLeaves,CrownHt,1stFlwrHt_cm,1stFlwrDate,FlwrPicDate,FlwrPos,Tissue coll
HZIL,52,260,11/4/13,18,11/11/13,12/16/13,12/16/13,45,13,11.8,26,12/26/13,12/27/13,3,12/31/13
HZIL,31,274,11/4/13,19,11/8/13,11/26/13,11/26/13,27,6,6.8,27.4,12/5/13,12/6/13,3,12/17/13
HZIL,42,175,11/4/13,20,11/11/13,12/6/13,12/6/13,35,8,13.4,17.5,12/16/13,12/18/13,4,12/23/13
HZIL,29,252,11/4/13,21,11/11/13,11/26/13,11/26/13,22,6,11.4,25.2,12/3/13,12/4/13,3,12/17/13
HZIL,29,238,11/4/13,22,11/11/13,11/26/13,11/26/13,22,5,10.4,23.8,12/3/13,12/6/13,4,12/17/13
HZIL,32,172,11/4/13,23,11/11/13,12/2/13,12/2/13,25,6,12.2,17.2,12/6/13,12/9/13,3,12/17/13
HZIL,33,131,11/4/13,24,11/11/13,12/2/13,12/2/13,26,7,12.8,13.1,12/7/13,12/9/13,3,12/17/13
HZIL,39,101,11/4/13,25,11/8/13,12/3/13,12/3/13,35,8,8.5,10.1,12/13/13,12/16/13,3,12/17/13
HZIL,58,393,11/4/13,26,11/8/13,12/20/13,12/20/13,54,15,21.2,39.3,1/1/14,1/3/14,5,1/8/14
HZIL,37,211,11/4/13,27,11/8/13,12/2/13,12/2/13,33,7,8.6,21.1,12/11/13,12/13/13,3,12/17/13
HZIL,42,421,11/4/13,28,11/11/13,12/6/13,12/6/13,35,9,14.6,42.1,12/16/13,12/18/13,3,12/23/13
HZIL,45,318,11/4/13,29,11/11/13,12/9/13,12/9/13,38,9,14.7,31.8,12/19/13,12/23/13,6,12/23/13
HZIL,30,198,11/4/13,30,11/11/13,11/26/13,11/26/13,23,6,7.9,19.8,12/4/13,12/6/13,3,12/17/13
ZYIL,46,414,11/4/13,1,11/11/13,12/2/13,12/2/13,39,7,14.1,41.4,12/20/13,12/23/13,7,12/23/13
ZYIL,58,342,11/4/13,2,11/11/13,12/20/13,12/20/13,51,12,22.2,34.2,1/1/14,1/3/14,3,1/8/14
ZYIL,50,198,11/4/13,3,11/15/13,12/16/13,12/16/13,39,8,11.1,19.8,12/24/13,12/30/13,5,12/31/13
ZYIL,41,304,11/4/13,4,11/11/13,12/6/13,12/6/13,34,9,18.9,30.4,12/15/13,12/16/13,3,12/18/13
ZYIL,49,240,11/4/13,5,11/11/13,12/13/13,12/13/13,42,8,16.2,24,12/23/13,12/24/13,3,12/31/13
ZYIL,63,369,11/4/13,6,11/8/13,12/27/13,12/27/13,59,10,21,36.9,1/6/14,1/8/14,5,1/8/14
ZYIL,32,201,11/4/13,7,11/11/13,12/2/13,12/2/13,25,6,13.3,20.1,12/6/13,12/9/13,3,12/18/13
ZYIL,47,309,11/4/13,8,11/11/13,12/13/13,12/13/13,40,8,14.9,30.9,12/21/13,12/23/13,4,12/23/13
ZYIL,42,137,11/4/13,9,11/11/13,12/6/13,12/6/13,35,7,8.2,13.7,12/16/13,12/18/13,3,12/23/13
ZYIL,63,326,11/4/13,10,11/12/13,12/23/13,12/23/13,55,12,16.3,32.6,1/6/14,1/8/14,8,1/8/14
ZYIL,47,412,11/4/13,11,11/11/13,12/9/13,12/9/13,40,9,21.2,41.2,12/21/13,12/23/13,5,12/23/13
ZYIL,49,168,11/4/13,12,11/13/13,12/11/13,12/11/13,40,7,14.5,16.8,12/23/13,12/27/13,4,12/31/13
ZYIL,37,169,11/4/13,13,11/11/13,12/3/13,12/3/13,30,7,12.2,16.9,12/11/13,12/13/13,3,12/18/13
