Population,FlwrT,1stFlwrHt_mm,Planted,Pot,Germ,crownTop,crownSide,flwrTime,NumLeaves,CrownHt,1stFlwrHt_cm,1stFlwrDate,FlwrPicDate,FlwrPos,Tissue coll
IMES,33,142,11/4/13,27,11/11/13,12/2/13,12/2/13,26,8,9.2,14.2,12/7/13,12/9/13,3,12/17/13
IMES,34,115,11/4/13,28,11/11/13,12/3/13,12/3/13,27,7,7.2,11.5,12/8/13,12/10/13,3,12/17/13
IMES,32,82,11/4/13,29,11/8/13,12/2/13,12/2/13,28,7,8.9,8.2,12/6/13,12/9/13,3,12/17/13
IMES,37,38,11/4/13,30,11/11/13,12/3/13,12/3/13,30,8,7.4,3.8,12/11/13,12/16/13,4,12/17/13
AFFR,65,231,11/4/13,1,11/11/13,12/30/13,12/30/13,58,20,10.1,23.1,1/8/14,1/10/14,3,1/14/14
AFFR,33,234,11/4/13,2,11/11/13,12/2/13,12/2/13,26,8,7.8,23.4,12/7/13,12/9/13,3,12/18/13
AFFR,48,192,11/4/13,3,11/13/13,12/16/13,12/16/13,39,11,12.4,19.2,12/22/13,12/24/13,3,12/31/13
AFFR,56,63,11/4/13,4,11/11/13,12/18/13,12/18/13,49,12,6.8,6.3,12/30/13,12/31/13,3,1/8/14
AFFR,39,125,11/4/13,5,11/11/13,12/4/13,12/4/13,32,7,8.2,12.5,12/13/13,12/16/13,4,12/18/13
AFFR,49,93,11/4/13,6,11/11/13,12/10/13,12/10/13,42,10,9.2,9.3,12/23/13,12/24/13,3,12/31/13
AFFR,35,201,11/4/13,7,11/11/13,12/2/13,12/2/13,28,6,10.9,20.1,12/9/13,12/11/13,3,12/18/13
AFFR,33,166,11/4/13,8,11/12/13,12/2/13,12/2/13,25,6,10.6,16.6,12/7/13,12/9/13,3,12/18/13
AFFR,33,159,11/4/13,9,11/12/13,12/2/13,12/2/13,25,7,8.1,15.9,12/7/13,12/9/13,3,12/18/13
AFFR,79,289,11/4/13,10,11/12/13,1/13/14,1/13/14,71,21,21.3,28.9,1/22/14,1/24/14,5,1/20/14
AFFR,37,119,11/4/13,11,11/12/13,12/3/13,12/3/13,29,7,5.9,11.9,12/11/13,12/13/13,3,12/18/13
AFFR,46,235,11/4/13,12,11/11/13,12/10/13,12/10/13,39,11,14.5,23.5,12/20/13,12/23/13,5,12/23/13
AFFR,42,129,11/4/13,13,11/15/13,12/9/13,12/9/13,31,6,11.2,12.9,12/16/13,12/18/13,3,12/23/13
AFFR,63,219,11/4/13,14,11/11/13,12/27/13,12/27/13,56,14,8.3,21.9,1/6/14,1/8/14,3,1/8/14
AFFR,44,172,11/4/13,15,11/11/13,12/10/13,12/10/13,37,9,4.2,17.2,12/18/13,12/20/13,3,12/23/13
AFFR,39,160,11/4/13,16,11/11/13,12/3/13,12/3/13,32,10,9.3,16,12/13/13,12/16/13,4,12/18/13
AFFR,64,211,11/4/13,17,11/15/13,12/30/13,12/30/13,53,15,22,21.1,1/7/14,1/8/14,3,1/8/14
AFFR,71,237,11/4/13,18,11/12/13,1/8/14,1/8/14,63,19,13.6,23.7,1/14/14,1/15/14,3,1/20/14
AFFR,35,133,11/4/13,19,11/11/13,12/2/13,12/2/13,28,8,6.9,13.3,12/9/13,12/10/13,3,12/18/13
AFFR,35,242,11/4/13,20,11/11/13,12/2/13,12/2/13,28,8,9.7,24.2,12/9/13,12/10/13,3,12/18/13
AFFR,44,53,11/4/13,21,11/11/13,12/9/13,12/9/13,37,9,8.3,5.3,12/18/13,12/20/13,3,12/23/13
AFFR,34,112,11/4/13,22,11/11/13,12/3/13,12/3/13,27,8,6.7,11.2,12/8/13,12/10/13,3,12/18/13
AFFR,35,111,11/4/13,23,11/11/13,12/3/13,12/3/13,28,8,8.4,11.1,12/9/13,12/11/13,3,12/18/13
AFFR,37,225,11/4/13,24,11/11/13,12/3/13,12/3/13,30,7,9.4,22.5,12/11/13,12/13/13,3,12/18/13
AFFR,37,65,11/4/13,25,11/11/13,12/6/13,12/6/13,30,6,7.4,6.5,12/11/13,12/16/13,4,12/18/13
AFFR,39,96,11/4/13,26,11/11/13,12/4/13,12/4/13,32,9,5.1,9.6,12/13/13,12/16/13,5,12/18/13
AFFR,33,191,11/4/13,27,11/11/13,12/2/13,12/2/13,26,7,7.4,19.1,12/7/13,12/9/13,3,12/18/13
AFFR,53,119,11/4/13,28,11/11/13,12/18/13,12/18/13,46,14,8.3,11.9,12/27/13,1/3/14,8,1/3/14
AFFR,32,142,11/4/13,29,11/11/13,12/2/13,12/2/13,25,7,8.1,14.2,12/6/13,12/9/13,5,12/18/13
AFFR,36,67,11/4/13,30,11/11/13,12/6/13,12/6/13,29,7,11.6,6.7,12/10/13,12/13/13,3,12/18/13
MAES,221,73,11/4/13,27,3/21/14,6/3/14,6/3/14,84,34,8.6,7.3,6/13/14,6/16/14,5,6/6/14
MAES,207,68,11/4/13,28,3/24/14,5/27/14,5/27/14,67,41,8.7,6.8,5/30/14,6/2/14,4,6/2/14
MAES,188,57,11/4/13,31,2/21/14,5/7/14,5/7/14,79,31,6.2,5.7,5/11/14,5/13/14,3,5/13/14
MAES,111,72,11/4/13,33,12/2/13,2/17/14,2/17/14,83,17,7.4,7.2,2/23/14,2/24/14,3,2/24/14
MAES,224,106,11/4/13,37,3/26/14,6/3/14,6/3/14,82,33,10.1,10.6,6/16/14,6/20/14,4,6/20/14
MAES,117,78,11/4/13,38,12/9/13,2/24/14,2/24/14,82,20,8.3,7.8,3/1/14,3/4/14,4,2/24/14
MAES,160,112,11/4/13,39,1/20/14,4/4/14,4/4/14,83,37,9.7,11.2,4/13/14,4/14/14,3,4/18/14
MAES,102,.,11/4/13,41.1,11/11/13,1/15/14,1/15/14,95,19,18.7,.,2/14/14,2/17/14,5,2/21/14
MAES,86,135,11/4/13,41.2,11/11/13,1/21/14,1/21/14,79,25,13.4,13.5,1/29/14,1/31/14,4,2/3/14
MAES,122,99,11/4/13,43,1/10/14,3/4/14,3/4/14,55,26,7.1,9.9,3/6/14,3/7/14,3,3/10/14
MAES,209,114,11/4/13,44,3/17/14,5/27/14,5/27/14,76,37,7.5,11.4,6/1/14,6/2/14,3,6/2/14
MAES,117,31,11/4/13,50,12/3/13,2/19/14,2/19/14,88,25,5.4,3.1,3/1/14,3/4/14,3,2/24/14
MAES,238,49,11/4/13,51,3/17/14,6/24/14,6/24/14,105,55,8.2,4.9,6/30/14,7/1/14,3,7/1/14
MAES,232,143,11/4/13,55,3/17/14,6/16/14,6/16/14,99,68,7.7,14.3,6/24/14,6/25/14,3,6/25/14
