original_order,population,,OrigCode,family,sibling,seed_wt,DaysToGerm,DaysGermToFlwr,firstFlwrHt_mm,num_ovules,Lifespan,Total_Seeds,Total_Fruit,Seed_per_Fruit,Planting_Date,Germination_Date,First_FlowerDate,Mortality_Date,OvuleFlower_num,OvuleDate
54,KAMI,,KM,5,c,5.6,5,,,,10,0,0,0,6/14/05,6/19/05,,6/29/05,,
111,KAMI,,KM,44,c,4.1,7,,,,14,0,0,0,6/14/05,6/21/05,,7/5/05,,
83,KAMI,,KM,25,c,5.9,5,,,,18,0,0,0,6/14/05,6/19/05,,7/7/05,,
101,KAMI,,KM,37,b,2,7,,,,35,0,0,0,6/14/05,6/21/05,,7/26/05,,
90,KAMI,,KM,33,b,5.5,5,,,,39,0,0,0,6/14/05,6/19/05,,7/28/05,,
119,KAMI,,KM,49,a,1.8,8,,,,40,0,0,0,6/14/05,6/22/05,,8/1/05,,
46,KAMI,,KM,3,e,9,21,22,65,,57,6,3,2,6/14/05,7/5/05,7/27/05,8/31/05,6,8/1/05
84,KAMI,,KM,25,d,4,5,,,,65,0,0,0,6/14/05,6/19/05,,8/23/05,,
93,KAMI,,KM,33,e,5.2,7,24,100,8,71,219,61,3.59,6/14/05,6/21/05,7/15/05,8/31/05,5,7/17/05
110,KAMI,,KM,44,b,4.3,7,36,60,6,71,6,2,3,6/14/05,6/21/05,7/27/05,8/31/05,3,8/1/05
55,KAMI,,KM,5,d,5.5,5,,,,73,0,0,0,6/14/05,6/19/05,,8/31/05,,
78,KAMI,,KM,19,b,6.3,3,33,66,6,75,0,0,0,6/14/05,6/17/05,7/20/05,8/31/05,17,8/1/05
69,KAMI,,KM,14,c,5.6,5,27,62,7,82,66,24,2.75,6/14/05,6/19/05,7/16/05,9/9/05,4,7/22/05
89,KAMI,,KM,33,a,6.3,5,24,95,7,82,133,41,3.24,6/14/05,6/19/05,7/13/05,9/9/05,3,7/14/05
67,KAMI,,KM,14,a,6.8,5,26,135,9,94,784,221,3.55,6/14/05,6/19/05,7/15/05,9/21/05,7,7/17/05
107,KAMI,,KM,38,e,3.9,5,28,65,8,94,464,126,3.68,6/14/05,6/19/05,7/17/05,9/21/05,8,7/19/05
123,KAMI,,KM,50,c,4.4,3,27,120,9,96,1172,261,4.49,6/14/05,6/17/05,7/14/05,9/21/05,3,7/15/05
63,KAMI,,KM,13,b,3.6,8,42,130,9,132,27,11,2.45,6/14/05,6/22/05,8/3/05,11/1/05,9,8/8/06
47,KAMI,,KM,4,a,4.5,5,,,,135,117,32,3.66,6/14/05,6/19/05,,11/1/05,,
87,KAMI,,KM,30,a,4.3,3,26,172,7,137,543,233,2.33,6/14/05,6/17/05,7/13/05,11/1/05,5,7/14/05
86,KAMI,,KM,28,a,7,11,26,205,7,158,141,33,4.27,6/14/05,6/25/05,7/21/05,11/30/05,3,7/22/05
52,KAMI,,KM,5,a,6.4,1,38,256,10,159,120,35,3.43,6/14/05,6/24/05,8/1/05,11/30/05,x3,8/1/05
71,KAMI,,KM,14,e,6.9,1,23,115,5,159,568,163,3.48,6/14/05,6/24/05,7/17/05,11/30/05,3,7/17/05
58,KAMI,,KM,6,b,8,8,31,250,6,161,93,74,1.26,6/14/05,6/22/05,7/23/05,11/30/05,7,7/27/05
66,KAMI,,KM,13,e,2.7,8,30,70,8,161,203,64,3.17,6/14/05,6/22/05,7/22/05,11/30/05,x8,8/8/06
104,KAMI,,KM,38,b,5,8,25,30,11,161,444,94,4.72,6/14/05,6/22/05,7/17/05,11/30/05,7,7/20/05
117,KAMI,,KM,48,d,3,8,26,65,?,161,0,0,0,6/14/05,6/22/05,7/18/05,11/30/05,5,7/21/05
43,KAMI,,KM,3,b,9.3,7,22,204,10,162,2368,486,4.87,6/14/05,6/21/05,7/13/05,11/30/05,12,7/18/05
45,KAMI,,KM,3,d,6.2,7,26,185,10,162,862,248,3.48,6/14/05,6/21/05,7/17/05,11/30/05,3,7/18/05
53,KAMI,,KM,5,b,5.1,7,25,20,7,162,98,31,3.16,6/14/05,6/21/05,7/16/05,11/30/05,5,7/18/05
56,KAMI,,KM,5,e,4.3,7,22,65,8,162,692,210,3.3,6/14/05,6/21/05,7/13/05,11/30/05,9,7/17/05
57,KAMI,,KM,6,a,6.1,7,43,260,8,162,38,10,3.8,6/14/05,6/21/05,8/3/05,11/30/05,x1,8/8/06
59,KAMI,,KM,6,c,6.8,7,24,80,8,162,423,133,3.18,6/14/05,6/21/05,7/15/05,11/30/05,6,7/18/05
60,KAMI,,KM,6,d,8,7,21,90,8,162,313,97,3.23,6/14/05,6/21/05,7/12/05,11/30/05,4,7/14/05
61,KAMI,,KM,6,e,7.8,7,28,68,8,162,108,25,4.32,6/14/05,6/21/05,7/19/05,11/30/05,6,7/19/05
74,KAMI,,KM,16,c,3.5,7,32,230,11,162,933,143,6.52,6/14/05,6/21/05,7/23/05,11/30/05,9,7/27/05
91,KAMI,,KM,33,c,5.1,7,26,30,8,162,359,106,3.39,6/14/05,6/21/05,7/17/05,11/30/05,6,7/27/05
92,KAMI,,KM,33,d,6.2,7,24,70,8,162,221,65,3.4,6/14/05,6/21/05,7/15/05,11/30/05,x4,7/22/05
115,KAMI,,KM,48,b,2.7,7,24,145,7,162,407,149,2.73,6/14/05,6/21/05,7/15/05,11/30/05,4,7/19/05
121,KAMI,,KM,50,a,6,7,29,170,16,162,861,220,3.91,6/14/05,6/21/05,7/20/05,11/30/05,x8,7/27/05
125,KAMI,,KM,50,e,3.4,7,27,60,11,162,828,167,4.96,6/14/05,6/21/05,7/18/05,11/30/05,5,7/18/05
42,KAMI,,KM,3,a,7.8,5,24,56,8,164,330,95,3.47,6/14/05,6/19/05,7/13/05,11/30/05,10,7/17/05
48,KAMI,,KM,4,b,4.3,5,26,55,9,164,50,20,2.5,6/14/05,6/19/05,7/15/05,11/30/05,4,7/17/05
49,KAMI,,KM,4,c,5.7,5,25,45,6,164,390,118,3.31,6/14/05,6/19/05,7/14/05,11/30/05,3,7/21/05
50,KAMI,,KM,4,d,4.8,5,24,211,7,164,499,207,2.41,6/14/05,6/19/05,7/13/05,11/30/05,3,7/14/05
51,KAMI,,KM,4,e,4.5,5,24,151,8,164,2553,683,3.74,6/14/05,6/19/05,7/13/05,11/30/05,10,7/21/05
62,KAMI,,KM,13,a,3.6,5,29,55,?,164,92,24,3.83,6/14/05,6/19/05,7/18/05,11/30/05,5,7/19/05
68,KAMI,,KM,14,b,5.7,5,24,146,7,164,751,256,2.93,6/14/05,6/19/05,7/13/05,11/30/05,9,7/17/05
72,KAMI,,KM,16,a,3.8,5,25,114,8,164,472,176,2.68,6/14/05,6/19/05,7/14/05,11/30/05,9,7/17/05
82,KAMI,,KM,25,b,6.6,5,32,120,7,164,363,77,4.71,6/14/05,6/19/05,7/21/05,11/30/05,x3,7/27/05
85,KAMI,,KM,25,e,5.2,5,24,52,4,164,441,98,4.5,6/14/05,6/19/05,7/13/05,11/30/05,11,7/17/05
94,KAMI,,KM,34,a,6,5,24,103,4,164,242,78,3.1,6/14/05,6/19/05,7/13/05,11/30/05,3,7/14/05
95,KAMI,,KM,35,a,5.5,5,27,65,9,164,35,10,3.5,6/14/05,6/19/05,7/16/05,11/30/05,3,7/18/05
96,KAMI,,KM,35,b,5.1,5,24,62,10,164,275,83,3.31,6/14/05,6/19/05,7/13/05,11/30/05,7,7/19/05
98,KAMI,,KM,35,d,4.6,5,27,100,12,164,76,24,3.17,6/14/05,6/19/05,7/16/05,11/30/05,10,7/17/05
99,KAMI,,KM,35,e,5.5,5,27,67,7,164,69,23,3,6/14/05,6/19/05,7/16/05,11/30/05,5,7/19/05
102,KAMI,,KM,37,c,2.2,5,27,150,8,164,326,86,3.79,6/14/05,6/19/05,7/16/05,11/30/05,4,7/19/05
103,KAMI,,KM,38,a,5.1,5,23,28,8,164,804,357,2.25,6/14/05,6/19/05,7/12/05,11/30/05,11,7/15/05
106,KAMI,,KM,38,d,5.8,5,25,118,6,164,317,124,2.56,6/14/05,6/19/05,7/14/05,11/30/05,5,7/15/05
114,KAMI,,KM,48,a,3.4,5,33,115,9,164,107,57,1.88,6/14/05,6/19/05,7/22/05,11/30/05,5,7/22/05
116,KAMI,,KM,48,c,6.8,5,25,57,10,164,851,249,3.42,6/14/05,6/19/05,7/14/05,11/30/05,x3,7/18/05
118,KAMI,,KM,48,e,3.7,5,24,144,7,164,793,360,2.2,6/14/05,6/19/05,7/13/05,11/30/05,x4,7/17/05
122,KAMI,,KM,50,b,5.1,5,27,168,14,164,484,113,4.28,6/14/05,6/19/05,7/16/05,11/30/05,4,7/17/05
124,KAMI,,KM,50,d,5.5,5,28,135,11,164,607,119,5.1,6/14/05,6/19/05,7/17/05,11/30/05,5,7/17/05
637,MAES,,MS,7,a,4.1,5,,,,16,0,0,0,6/14/05,6/19/05,,7/5/05,,
633,MAES,,MS,4,d,2.4,7,,,,18,0,0,0,6/14/05,6/21/05,,7/9/05,,
732,MAES,,MS,49,c,2.9,7,,,,28,0,0,0,6/14/05,6/21/05,,7/19/05,,
670,MAES,,MS,24,d,2.9,5,,,,38,0,0,0,6/14/05,6/19/05,,7/27/05,,
694,MAES,,MS,32,d,1.5,5,,,,40,0,0,0,6/14/05,6/19/05,,7/29/05,,
695,MAES,,MS,32,e,1.7,8,,,,42,0,0,0,6/14/05,6/22/05,,8/3/05,,
631,MAES,,MS,4,b,2.4,5,,,,43,0,0,0,6/14/05,6/19/05,,8/1/05,,
666,MAES,,MS,16,e,3.5,5,,,,51,0,0,0,6/14/05,6/19/05,,8/9/05,,
629,MAES,,MS,3,e,2.6,5,,,,52,0,0,0,6/14/05,6/19/05,,8/10/05,,
667,MAES,,MS,24,a,1.8,5,,,,58,0,0,0,6/14/05,6/19/05,,8/16/05,,
642,MAES,,MS,9,a,3.8,11,,,,59,0,0,0,6/14/05,6/25/05,,8/23/05,,
700,MAES,,MS,37,a,3.3,5,,,,73,0,0,0,6/14/05,6/19/05,,8/31/05,,
627,MAES,,MS,3,c,3.8,5,,,,82,0,0,0,6/14/05,6/19/05,,9/9/05,,
657,MAES,,MS,15,a,4.1,5,,,,82,0,0,0,6/14/05,6/19/05,,9/9/05,,
640,MAES,,MS,7,d,2.7,7,,,,92,0,0,0,6/14/05,6/21/05,,9/21/05,,
644,MAES,,MS,9,c,2.9,5,,,,94,0,0,0,6/14/05,6/19/05,,9/21/05,,
726,MAES,,MS,48,b,2.4,1,,,,159,0,0,0,6/14/05,6/24/05,,11/30/05,,
733,MAES,,MS,49,d,2.5,9,,,,160,0,0,0,6/14/05,6/23/05,,11/30/05,,
696,MAES,,MS,33,a,1.9,8,,,,161,0,0,0,6/14/05,6/22/05,,11/30/05,,
626,MAES,,MS,3,b,3.5,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
628,MAES,,MS,3,d,3.7,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
630,MAES,,MS,4,a,2.6,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
636,MAES,,MS,5,b,3,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
649,MAES,,MS,10,c,3.9,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
654,MAES,,MS,11,c,1.5,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
660,MAES,,MS,15,d,3.3,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
662,MAES,,MS,16,a,3.3,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
665,MAES,,MS,16,d,3.4,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
676,MAES,,MS,27,a,3.1,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
690,MAES,,MS,29,e,3.1,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
707,MAES,,MS,41,c,4.3,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
708,MAES,,MS,41,d,3.9,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
714,MAES,,MS,43,e,1.5,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
716,MAES,,MS,44,b,3.2,7,,,,162,0,0,0,6/14/05,6/21/05,,11/30/05,,
625,MAES,,MS,3,a,3.7,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
634,MAES,,MS,4,e,2,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
638,MAES,,MS,7,b,2.8,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
641,MAES,,MS,7,e,3.1,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
650,MAES,,MS,10,d,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
651,MAES,,MS,10,e,2.4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
658,MAES,,MS,15,b,4.1,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
659,MAES,,MS,15,c,3.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
663,MAES,,MS,16,b,4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
664,MAES,,MS,16,c,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
669,MAES,,MS,24,c,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
671,MAES,,MS,24,e,2.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
675,MAES,,MS,26,d,3.7,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
677,MAES,,MS,27,b,2.4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
678,MAES,,MS,27,c,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
679,MAES,,MS,27,d,2.4,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
680,MAES,,MS,27,e,2.6,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
681,MAES,,MS,28,a,2.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
687,MAES,,MS,29,b,3.3,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
688,MAES,,MS,29,c,3.2,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
691,MAES,,MS,32,a,1.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
692,MAES,,MS,32,b,1.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
693,MAES,,MS,32,c,1.9,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
699,MAES,,MS,33,d,2,5,,,,164,0,0,0,6/14/05,6/19/05,,11/30/05,,
