Row,Column,Code,Planting_Code,germ_group,subpop,group,Planting_Date,Germ_Date,Died_By,Died_before_bolting,Died_before_flowering,Bolt_before_7_26,Bolt_before_Winter,Dead_7_1_12,Bolted_Date,second_bolt,Flowering_Date,Height_1st_Flower_cm,Date_Blossom_Collected,Days_Germ_to_Bolt,Died_from_winter,Days_Germ_to_Flow,Days_Bolt_Flower,Survive_winter,6_28_Leaf_Number_Josh,No_data_6_28,7_26_Leaf_Number_Josh,No_data_7_26,6_28_Rosette_Leaf_Scale,6_28_L1L,6_28_L1W,6_28_L2L,6_28_L2W,6_28_L3L,6_28_L3W,7_26_Rosette_Leaf_Scale,7_26_L1L,7_26_L1W,7_26_L2L,7_26_L2W,7_26_L3L,7_26_L3W,Alive_1_5_13,Alive_4_17_13,Alive_5_3_13,Alive_5_13_13,Alive_5_28_13,Tissue_Sample,SpringAliveDate
92,D,RA787,RA787,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,34.419,,,,,,,0,0,0,0,0,0,
93,A,RA761,RA761,1,unknown,unknown,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,50,,,,,,,0,0,0,0,0,0,
93,C,REIL,REIL,1,weed,weed,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,43.525,1,,,,,,0,0,0,0,0,0,
94,A,BINYxMAES,BINYxMAES_3,3,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,50.162,,,,,,,0,0,0,0,0,0,
94,D,TOBG,TOBG,1,daikon,crop,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,29.449,,,,,,,0,0,0,0,0,0,
96,E,AFFRxMAES,AFFRxMAES_4,4,cross,cross,5/25/12,5/29/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,27.775,9.284,8.926,,,,,0,0,0,0,0,0,
99,D,M3AU,M3,1,weed,weed,5/25/12,6/4/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,33,,,,,,,0,0,0,0,0,0,
100,D,SAESxMAES,SAESxMAES_3,3,cross,cross,5/25/12,6/3/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,35,,,,,,,0,0,0,0,0,0,
101,A,BINYxMAES,BINYxMAES_6,6,cross,cross,5/25/12,6/1/12,6/28/12,1,1,,0,1,,,,,,,,,,0,,D,,D,,,,,,,,22,,,,,,,0,0,0,0,0,0,
8,E,RA787,RA787,1,unknown,unknown,5/25/12,5/30/12,7/26/12,0,1,1,0,0,6/28/12,,,,,29,,,,0,3,,,D,52,,,,,,,36.988,8.282,1.333,,,,,0,0,0,0,0,0,
9,B,SAESxMAES,SAESxMAES_3,3,cross,cross,5/25/12,6/4/12,7/26/12,1,1,,0,0,,,,,,,,,,0,2,,,D,62.47,137.656,53.371,,,,,52.869,,,,,,,0,0,0,0,0,0,
11,A,NZIL,NZIL_redos,1,confusus,native,5/25/12,5/30/12,7/26/12,1,1,,0,0,,,,,,,,,,0,6,,,D,60.236,173.14,114.476,98.335,78.043,,,25.841,,,,,,,0,0,0,0,0,0,
12,A,RA173,RA173,1,unknown,unknown,5/25/12,5/29/12,7/26/12,1,1,,0,0,,,,,,,,,,0,2,,,D,64.086,,,,,,,26,,,,,,,0,0,0,0,0,0,
