Pop,ID,sire,dam,OrigSireID,OrigDamID,sib,block_9,blockNum,FlwrPos,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ovules,plantingDate,germTime,germ2flwr,plant2Flwr,NumVernal,DaysVernal,1stFlwrHgt_cm,LeafNum,Measurer
AUFI,487,1031,996,46,1,c,3,61,x3,9.36,6.21,11.28,9.7128,12.4552,15.852,7,8-Jul-04,4,20,24,0,0,26.4,3,Steve
AUFI,493,1033,1034,49,50,a,9,153,7,10.2,6.24,12.5128,10.4294,13.147,16.4832,5,8-Jul-04,4,20,24,0,0,25.1,3,Steve
AUFI,379,1001,1016,8,29,a,8,131,6,11.18,8.73,13.5661,11.2969,13.8406,17.3029,10,8-Jul-04,4,20,24,0,0,24.5,3,Steve
AUFI,481,1029,1030,43,44,a,1,25,3,7.26,5.77,9.5826,8.959,10.477,13.1088,9,8-Jul-04,5,20,25,0,0,18.2,3,Steve
AUFI,430,1016,1017,29,30,a,4,48,5,10.21,8.05,12.6247,10.8831,13.231,13.462,8,8-Jul-04,5,20,25,0,0,18,3,Steve
AUFI,485,1031,996,46,1,a,1,13,3,10.22,5.66,12.233,9.4624,12.5919,17.4921,7,8-Jul-04,5,20,25,0,0,13.5,4,Steve
AUFI,370,998,999,5,6,d,4,67,7,9.74,6.66,10.6593,8.2382,10.5201,10.2075,.,8-Jul-04,4,21,25,0,0,23.2,4,Steve
AUFI,426,1015,1019,27,32,a,2,3,5,8.55,6.65,10.5601,9.8917,11.6149,10.634,4,8-Jul-04,4,21,25,0,0,23,3,Steve
AUFI,444,1019,1020,32,33,c,8,144,3,9.07,7.15,10.6821,8.876,10.9707,10.715,6,8-Jul-04,4,21,25,0,0,25.2,3,Steve
AUFI,410,1009,1010,19,20,d,9,38,5,7.3,6.56,11.258,9.3409,12.3876,11.4147,9,8-Jul-04,4,21,25,0,0,22.1,3,Steve
AUFI,393,1005,1007,13,15,c,4,79,3,10.41,7.37,12.1438,9.986,12.3123,12.511,8,8-Jul-04,4,21,25,0,0,17.8,.,Steve
AUFI,386,1002,1003,10,11,d,1,1,4,8.2,6.43,11.1154,9.4728,11.9009,12.6992,7,8-Jul-04,4,21,25,0,0,17,3,Steve
AUFI,383,1002,1003,10,11,a,6,84,9,8.6,6.19,11.3645,8.6859,11.1325,12.7186,9,8-Jul-04,4,21,25,0,0,27,.,Steve
AUFI,395,1006,1008,14,17,a,2,32,5,8.91,6.42,11.666,9.836,12.5534,12.9042,6,8-Jul-04,4,21,25,0,0,20,4,Steve
AUFI,420,1012,1013,23,24,c,4,75,4,7.8,7.58,10.8408,8.3316,10.7807,12.938,9,8-Jul-04,4,21,25,0,0,29.8,.,Steve
AUFI,378,1000,1001,7,8,d,3,65,9,10.36,6.9,11.4548,8.1087,11.0302,13.0648,11,8-Jul-04,4,21,25,0,0,21.7,4,Steve
AUFI,477,1028,1029,42,43,a,9,41,6,9.46,6.96,10.116,9.0656,10.7992,13.171,8,8-Jul-04,4,21,25,0,0,29.1,4,Steve
AUFI,392,1005,1007,13,15,b,1,34,5,9.51,6.73,11.9212,10.1522,13.3301,14.108,6,8-Jul-04,4,21,25,0,0,19,3,Steve
AUFI,498,1034,997,50,2,c,1,17,3,10.18,7.17,11.7252,10.402,11.9374,14.1112,8,8-Jul-04,4,21,25,0,0,16.5,3,Steve
AUFI,411,1010,1011,20,22,a,3,53,5,8.62,8.19,10.2985,7.541,10.7807,14.3279,10,8-Jul-04,4,21,25,0,0,19,3,Steve
AUFI,470,1026,1027,39,40,b,6,83,5,9.48,7.89,11.5343,9.4125,12.1929,14.5396,10,8-Jul-04,4,21,25,0,0,27,.,Steve
AUFI,456,1022,1023,35,36,c,4,56,3,7.97,6.33,12.6857,7.8645,12.434,14.5873,8,8-Jul-04,4,21,25,0,0,24,.,Steve
AUFI,441,1018,1021,31,34,d,2,11,7,8.52,6.79,10.589,9.8855,11.5075,14.6252,8,8-Jul-04,4,21,25,0,0,17.5,4,Steve
AUFI,454,1022,1023,35,36,a,2,36,3,9.65,7.29,12.9655,10.5,14.1208,14.9691,12,8-Jul-04,4,21,25,0,0,23,3,Steve
AUFI,476,1027,1031,40,46,d,8,127,6,8.82,5.96,10.8285,8.7709,10.6893,15.2019,6,8-Jul-04,4,21,25,0,0,35.6,3,Steve
AUFI,374,999,1000,6,7,d,8,148,4,10.77,7.47,11.8538,10.0211,12.9697,15.2078,8,8-Jul-04,4,21,25,0,0,21.6,5,Steve
AUFI,375,1000,1001,7,8,a,9,40,3,9.91,7.55,11.3585,10.1153,12.239,15.3176,9,8-Jul-04,4,21,25,0,0,19.5,2,Steve
AUFI,451,1021,1022,34,35,b,7,126,3,9.24,5.87,12.2025,10.2324,12.1982,15.4005,9,8-Jul-04,4,21,25,0,0,25.4,3,Steve
AUFI,492,1032,1033,47,49,d,5,102,5,9.83,6.4,11.5578,9.1916,11.5183,15.9129,10,8-Jul-04,4,21,25,0,0,29.7,.,Steve
AUFI,380,1001,1016,8,29,b,7,149,8,9.27,6.43,12.8779,11.4715,13.4408,16.1748,9,8-Jul-04,4,21,25,0,0,21,3,Steve
AUFI,364,996,1002,1,10,d,8,140,3,8.39,7.3,12.0621,9.4647,12.0558,16.8778,8,8-Jul-04,4,21,25,0,0,23.4,3,Steve
AUFI,452,1021,1022,34,35,c,8,132,4,9.24,7.55,12.7237,10.1029,12.5611,17.8713,10,8-Jul-04,4,21,25,0,0,15.5,3,Steve
AUFI,403,1008,1009,17,19,a,2,31,5,7.06,5.91,10.6888,9.2828,11.7678,11.1278,4,8-Jul-04,5,21,26,0,0,20,3,Steve
AUFI,413,1010,1011,20,22,d,3,78,6,9.2,6.82,10.4892,8.8433,11.1244,13.4128,9,8-Jul-04,5,21,26,0,0,29,2,Steve
AUFI,402,1007,1006,15,14,d,2,20,3,9.28,7.61,10.5462,8.3971,11.5811,14.6875,8,8-Jul-04,5,21,26,0,0,20.2,4,Steve
AUFI,443,1019,1020,32,33,b,1,33,5,8.12,7.94,11.3434,8.2594,11.3837,10.8326,8,8-Jul-04,4,22,26,0,0,20,4,Steve
AUFI,416,1011,1012,22,23,c,4,55,4,8.61,6.98,10.5212,8.2002,9.7946,11.6172,6,8-Jul-04,4,22,26,0,0,31,5,Steve
AUFI,389,1003,1004,11,12,c,2,27,4,9.13,6.08,11.8934,10.256,13.1844,12.2207,9,8-Jul-04,4,22,26,0,0,21.6,2,Steve
AUFI,427,1015,1019,27,32,b,7,138,8,8.6,6.45,10.9738,9.4426,11.5222,12.3316,6,8-Jul-04,4,22,26,0,0,30.2,4,Steve
AUFI,479,1028,1029,42,43,c,4,72,3,9.19,7.29,10.5634,9.0423,11.3571,12.7873,8,8-Jul-04,4,22,26,0,0,19.8,3,Steve
AUFI,394,1005,1007,13,15,d,3,73,6,9.04,6.86,10.7682,8.6984,11.2295,12.8739,5,8-Jul-04,4,22,26,0,0,18.5,4,Steve
AUFI,384,1002,1003,10,11,b,9,155,4,9.86,7.42,10.2785,7.8342,10.3083,13.2628,7,8-Jul-04,4,22,26,0,0,18,3,Steve
AUFI,385,1002,1003,10,11,c,5,81,4,.,.,10.4537,8.7901,10.7251,13.2637,6,8-Jul-04,4,22,26,0,0,18,5,Steve
AUFI,448,1020,1028,33,42,c,3,70,6,10.25,6.64,10.8037,8.3739,10.7423,13.6226,10,8-Jul-04,4,22,26,0,0,18.8,3,Steve
AUFI,391,1005,1007,13,15,a,1,22,5,7.71,6.07,10.8647,8.1736,11.1949,13.7528,7,8-Jul-04,4,22,26,0,0,16.1,4,Steve
AUFI,376,1000,1001,7,8,b,9,43,3,10.34,7.32,11.3964,9.1812,11.2066,13.8329,8,8-Jul-04,4,22,26,0,0,24.5,4,Steve
AUFI,428,1015,1019,27,32,c,9,42,3,8.06,6.37,12.4113,11.238,12.8487,13.8599,6,8-Jul-04,4,22,26,0,0,22.8,4,Steve
AUFI,453,1021,1022,34,35,d,2,35,5,9.66,7.16,11.7814,10.0895,12.0008,14.1066,9,8-Jul-04,4,22,26,0,0,23.1,4,Steve
AUFI,421,1012,1013,23,24,d,9,154,4,8.02,5.57,10.4984,8.3324,10.5561,14.1163,9,8-Jul-04,4,22,26,0,0,23,3,Steve
