Pop,Individual,FlwrTime,Hgt1stFlwr_mm,NumVernaliz,DaysVernal,flowerDate,PlantingDate,OldPopCode,FileIDtop,FileIDside,CrownLeafNum,StemLeafNum,Bolted,CrownHeight
GSCA,2,51,311,0,0,9/29/06,8/9/06,SM,.,.,.,.,.,.
GSCA,3,68,172,0,0,10/16/06,8/9/06,SM,.,.,.,.,.,.
GSCA,4,65,262,0,0,10/13/06,8/9/06,SM,.,.,.,.,.,.
GSCA,5,38,454,0,0,9/16/06,8/9/06,SM,.,.,.,.,.,.
GSCA,6,74,254,0,0,10/22/06,8/9/06,SM,.,.,.,.,.,.
GSCA,7,50,540,0,0,9/28/06,8/9/06,SM,.,.,.,.,.,.
GSCA,8,115,314,0,0,12/2/06,8/9/06,SM,.,.,.,.,.,.
GSCA,9,60,413,0,0,10/8/06,8/9/06,SM,.,.,.,.,.,.
GSCA,10,46,510,0,0,9/24/06,8/9/06,SM,.,.,.,.,.,.
GSCA,12,44,278,0,0,9/22/06,8/9/06,SM,.,.,.,.,.,.
GSCA,13,100,225,0,0,11/17/06,8/9/06,SM,.,.,.,.,.,.
GSCA,14,39,426,0,0,9/17/06,8/9/06,SM,.,.,.,.,.,.
GSCA,15,42,305,0,0,9/20/06,8/9/06,SM,.,.,.,.,.,.
GSCA,16,38,525,0,0,9/16/06,8/9/06,SM,.,.,.,.,.,.
GSCA,17,49,423,0,0,9/27/06,8/9/06,SM,.,.,.,.,.,.
GSCA,18,46,304,0,0,9/24/06,8/9/06,SM,.,.,.,.,.,.
GSCA,19,44,229,0,0,9/22/06,8/9/06,SM,.,.,.,.,.,.
GSCA,20,39,495,0,0,9/17/06,8/9/06,SM,.,.,.,.,.,.
GSCA,21,44,417,0,0,9/22/06,8/9/06,SM,.,.,.,.,.,.
GSCA,22,125,386,0,0,12/12/06,8/9/06,SM,.,.,.,.,.,.
GSCA,23,81,614,0,0,10/29/06,8/9/06,SM,.,.,.,.,.,.
