NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
30,4,SAES,lanmar,native,,5/29/13,6/5/13,,,,,,,,,,
30,5,MAES,maes,native,,5/29/13,,,,,,,,,,,
30,8,DAJO,crop,crop,,5/29/13,6/10/13,,,,,,,,,,
30,10,PABS,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
30,11,MYJO,crop,crop,"693,694",5/29/13,6/2/13,8/5/13,8/9/13,74,8/14/13,8/20/13,,,,,
30,12,AFFR,weed,weed,"625,626",5/29/13,7/17/13,8/1/13,8/5/13,4.5,8/14/13,8/13/13,,,,,
30,17,TOBG,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
31,2,NELO,crop,crop,,5/29/13,6/2/13,,,,,,10/14/13,,,,
31,4,M3AU,weed,weed,"537, 538",5/29/13,6/18/13,7/15/13,7/17/13,29,7/25/13,7/24/13,,,,,
31,6,DAJO,crop,crop,,5/29/13,6/10/13,,,,,,,,,,
31,7,SAES,lanmar,native,"1059, 1060",5/29/13,6/5/13,8/20/13,8/21/13,47,8/23/13,8/27/13,,,,,
31,10,CBES,lanmar,native,,5/29/13,,,,,,,,,,,
31,11,M3AU,weed,weed,,5/29/13,,,,,,,,,,,
31,14,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,7/24/13,,,,
32,1,BINY,weed,weed,,5/29/13,,,,,,,,,,,
32,3,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
32,4,AFFR,weed,weed,"627,628",5/29/13,7/17/13,8/1/13,8/5/13,7.5,8/14/13,8/13/13,,,,,
32,5,MBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
32,6,GMIL,rostratus,native,"1061, 1062",5/29/13,7/1/13,8/20/13,8/22/13,6.5,8/23/13,8/27/13,,,,,
32,7,RACA,crop,crop,411,5/29/13,6/4/13,6/28/13,7/3/13,13.5,7/4/13,7/15/13,,,,,
32,8,PABS,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
32,10,LBBC,crop,crop,,5/29/13,6/5/13,,,,,,9/10/13,,,,
32,12,AFFR,weed,weed,,5/29/13,,,,,,,9/12/13,Dying 8/20,,,
32,13,WMBG,crop,crop,"1118, 1119",5/29/13,6/9/13,9/9/13,9/20/13,45,9/20/13,10/4/13,,,,,
32,14,CGBC,crop,crop,"1063, 1064",5/29/13,6/2/13,8/20/13,8/27/13,79,9/20/13,9/9/13,,,,,
32,16,NELO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
