NS_Row,WE_Row,Name,subpop,group,Bolt_Photo_num,Plant_Date,Germ_Date,Bolt_Date,Flower_Date,Height_1st_Flower_cm,Blossom_Collected,Seed_Set,Died,Notes,,,
7,6,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
7,7,ESNK,crop,crop,"91, 101, 102",5/29/13,6/4/13,6/28/13,7/4/13,43,7/11/13,7/14/13,,,,,
7,9,CGBC,crop,crop,"605,606",5/29/13,6/9/13,8/1/13,8/9/13,91,8/14/13,8/14/13,,,,,
7,11,MABG,crop,crop,"125, 126",5/29/13,6/9/13,7/2/13,7/8/13,33.5,7/11/13,7/15/13,,,,,
7,14,FGBC,crop,crop,"1110, 1111",5/29/13,6/2/13,9/3/13,9/9/13,36,,,9/26/13,Dying 9/20,,,
7,16,RBBC,crop,crop,,5/29/13,6/2/13,,,,,,7/22/13,"Dying 7/15, Replaced Fall",,,
7,17,NTJO,crop,crop,,5/29/13,6/2/13,,,,,,,,,,
8,1,RABS,crop,crop,,5/29/13,6/3/13,,,,,,,,,,
8,2,MBBC,crop,crop,,5/29/13,6/5/13,,,,,,,,,,
8,3,ESNK,crop,crop,"464, 465",5/29/13,6/5/13,7/9/13,7/15/13,36.5,7/16/13,7/22/13,10/4/13,,,,
8,5,MYJO,crop,crop,"988,989",5/29/13,6/2/13,8/13/13,8/20/13,97,8/23/13,8/27/13,,,,,
8,6,FRSI,crop,crop,"970,971",5/29/13,6/5/13,8/9/13,8/20/13,70,8/23/13,8/27/13,,,,,
8,7,CBBG,crop,crop,"990,991",5/29/13,6/9/13,8/13/13,8/20/13,47,8/23/13,8/27/13,10/4/13,,,,
8,9,ESNK,crop,crop,"525, 526",5/29/13,6/12/13,7/15/13,7/22/13,31,7/25/13,8/5/13,,,,,
8,10,PABS,crop,crop,,5/29/13,6/6/13,,,,,,10/4/13,,,,
8,15,DAJO,crop,crop,,5/29/13,6/2/13,,,,,,7/23/13,"Dying 7/22, Replaced Fall",,,
8,16,CGBC,crop,crop,"569, 570",5/29/13,6/9/13,7/22/13,8/1/13,73.5,8/14/13,8/13/13,,,,,
8,17,MABG,crop,crop,"127, 128",5/29/13,6/14/13,7/2/13,7/9/13,31,7/11/13,7/18/13,,,,,
9,1,RABG,crop,crop,"106, 107",5/29/13,6/3/13,6/28/13,7/4/13,26.5,7/5/13,7/15/13,,,,,
9,3,MABG,crop,crop,"466, 467",5/29/13,6/5/13,7/9/13,7/15/13,21,7/25/13,7/22/13,9/3/13,Dying 8/27,,,
9,4,RABS,crop,crop,"992,993",5/29/13,6/2/13,8/13/13,8/24/13,87,9/20/13,9/3/13,,,,,
