Pop,UniqueID,OrigID,PlantingDate,PlantToFlower,DaysToGerm,GermToFlwr,NumVernalz,DaysVernalized,PetLen,PetWid,Tube,ShrtFil,LongFil,Pistil,ShrtAnther,LongAnther,Ovules,1stFlwrHgt_cm,LeafNum,FlwrPos,SeedWt_g
AUFI,1033,49,6/10/03,26,4,22,0,0,9.4093,6.5328,10.5051,8.6625,11.3233,13.0305,1.5481,1.8749,7,24.5,3,6,0.0072
AUFI,1034,50,6/10/03,28,4,24,0,0,7.9776,5.7675,12.0582,9.3778,11.209,14.6434,2.6834,2.1839,9,23.4,4,5,0.0038
BINY,1128,1,6/10/03,37,4,33,0,0,7.1357,6.5192,9.7513,7.3852,9.1446,11.6101,2.0687,1.9864,8,25.2,6,4,0.005
BINY,1129,2,6/10/03,35,6,29,0,0,5.9881,5.8697,8.7426,6.2897,8.741,12.1844,2.5763,2.0602,6,31.7,6,3,0.0023
BINY,1130,3,6/20/03,25,4,21,0,0,8.9029,6.8972,13.4636,10.3788,12.5211,14.5473,1.9319,2.083,8,23.6,4,3,0.0037
BINY,1131,4,6/20/03,35,9,26,0,0,9.0419,6.932,13.8386,7.8198,10.3445,13.7885,3.2415,2.3263,7,34,5,8,0.0045
BINY,1132,5,6/20/03,29,4,25,0,0,10.0957,7.5056,13.1065,9.8659,12.1002,11.7827,2.4608,1.8881,9,34.5,5,4,0.0047
BINY,1133,9,6/20/03,39,5,34,0,0,6.6574,5.9466,10.6627,8.8699,11.1319,13.1002,1.6762,1.3829,11,42.3,6,4,0.0024
BINY,1134,12,6/10/03,36,8,28,0,0,9.3026,7.7587,12.1318,8.0568,10.7648,14.9486,2.9525,2.4015,10,27.8,6,4,0.0048
BINY,1135,13,6/10/03,33,7,26,0,0,5.4194,5.7683,10.0086,6.7536,9.3501,11.5355,2.5219,2.2313,10,37,4,6,0.0034
BINY,1136,15,6/10/03,29,6,23,0,0,9.8089,8.3755,12.2294,9.4922,12.3687,12.9087,2.4763,2.0223,7,38.3,5,3,0.0035
BINY,1137,18,6/10/03,28,6,22,0,0,8.1008,7.6659,10.5211,6.6403,9.9101,12.0662,2.5558,2.1257,10,26.9,4,3,0.003
BINY,1138,19,.,45,5,40,0,0,9.9285,7.7426,11.6336,8.2021,10.7855,16.8038,.,.,8,58,8,5,.
BINY,1139,20,6/10/03,30,5,25,0,0,5.8795,6.5652,9.1762,7.8983,9.958,10.6665,2.2848,2.1963,8,22.3,5,5,0.0028
BINY,1140,21,6/10/03,32,7,25,0,0,8.8143,7.9815,12.5851,8.4512,11.5752,12.6419,2.8265,2.2348,8,26.8,6,8,0.0056
BINY,1141,22,6/10/03,27,4,23,0,0,8.8974,6.4953,11.8365,7.7308,10.7617,12.2284,2.4961,2.2056,7,24.2,4,4,0.006
BINY,1142,23,6/10/03,36,8,28,0,0,11.3743,9.1182,12.7853,9.9126,12.503,14.7489,2.4005,1.9729,9,27.6,4,3,0.0021
BINY,1143,24,6/10/03,35,5,30,0,0,7.8907,7.687,12.1028,8.0026,10.7793,13.4247,2.3279,1.9395,8,39.2,6,6,0.0044
BINY,1144,25,6/10/03,32,5,27,0,0,7.7173,5.9278,11.5799,7.9924,11.1689,13.2098,2.2338,2.0272,6,40.6,5,7,0.0018
BINY,1145,26,6/20/03,35,10,25,0,0,7.5835,6.6672,10.6563,8.2406,10.7324,16.1768,1.9174,1.6235,9,30.3,4,6,0.0056
BINY,1146,28,6/10/03,30,7,23,0,0,9.6011,9.8811,13.0259,9.3272,11.2549,15.0742,2.4866,2.4593,7,26.2,5,3,0.0031
BINY,1147,29,6/20/03,33,4,29,0,0,7.6389,7.8521,12.6328,8.2593,11.4433,13.6188,2.6518,2.3547,8,32.8,4,4,0.0021
BINY,1148,30,6/10/03,35,5,30,0,0,7.908,6.0573,10.932,8.417,10.2825,11.8266,1.2871,1.7531,9,23.6,4,5,0.0036
BINY,1149,31,6/20/03,36,4,32,0,0,9.7497,8.4796,13.7589,7.7879,10.7111,13.4014,2.6015,2.5678,8,47.1,8,6,0.0014
BINY,1150,32,6/10/03,36,3,33,0,0,7.9718,6.9813,12.0587,8.9434,11.2634,12.3123,2.8853,2.7,6,13.1,8,4,0.004
BINY,1151,33,6/10/03,38,5,33,0,0,9.4249,8.8503,10.9747,8.4793,9.7657,13.704,2.7443,2.5564,10,30.7,6,3,0.0024
BINY,1152,35,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.
BINY,1153,36,6/10/03,26,4,22,0,0,9.6639,8.409,11.7409,8.5696,11.1273,13.0163,2.2829,2.0957,5,20.5,4,4,0.0049
BINY,1154,38,6/20/03,27,5,22,0,0,8.5997,9.6595,13.2335,9.0704,12.9545,14.4219,2.5819,2.2338,9,33.7,4,3,0.0029
BINY,1155,39,.,51,5,46,0,0,8.7368,8.0623,9.9875,8.1316,10.8082,12.4052,.,.,7,42.4,7,4,.
BINY,1156,40,6/20/03,34,4,30,0,0,9.0065,8.3671,12.172,7.937,10.9512,12.8797,2.4169,2.4248,5,52.3,4,4,0.0049
BINY,1157,41,.,57,4,53,0,0,9.2063,7.6223,11.2361,10.2378,11.8382,13.4965,.,.,6,59,7,3,.
BINY,1158,44,6/10/03,34,5,29,0,0,8.9006,8.7339,12.9597,7.9531,10.9041,12.0867,2.3342,2.0249,7,26.6,6,5,0.0029
